project,street,segment,commence,sale,price,area,level
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1672280.0,1281,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1622810.0,1453,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,915680.0,667,06 to 10
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,1300000.0,1442,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1234810.0,980,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,952540.0,786,21 to 25
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1308300.0,980,06 to 10
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,775000.0,980,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,877000.0,667,06 to 10
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,1100000.0,1076,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,1620000.0,1292,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,1090000.0,872,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1240000.0,1130,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,918590.0,667,11 to 15
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,1550000.0,2034,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,700000.0,506,16 to 20
RIVERBANK @ FERNVALE,FERNVALE CLOSE,OCR,2013.0,Resale,780000.0,689,06 to 10
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,1500000.0,1227,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,1718000.0,2239,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1275000.0,969,06 to 10
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,1350000.0,1981,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1277490.0,980,06 to 10
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,1260000.0,1076,01 to 05
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,1380000.0,1076,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1620870.0,1281,11 to 15
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,1168000.0,1453,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1200000.0,1076,16 to 20
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,910000.0,904,01 to 05
RIVERBANK @ FERNVALE,FERNVALE CLOSE,OCR,2013.0,Resale,1739000.0,1389,11 to 15
RIVERBANK @ FERNVALE,FERNVALE CLOSE,OCR,2013.0,Resale,990000.0,947,06 to 10
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,1080000.0,1281,01 to 05
RIVERBANK @ FERNVALE,FERNVALE CLOSE,OCR,2013.0,Resale,570000.0,495,01 to 05
RIVERBANK @ FERNVALE,FERNVALE CLOSE,OCR,2013.0,Resale,590000.0,495,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1497600.0,1152,16 to 20
RIVERBANK @ FERNVALE,FERNVALE CLOSE,OCR,2013.0,Resale,590000.0,495,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,1150000.0,1076,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1680000.0,1389,11 to 15
RIVERBANK @ FERNVALE,FERNVALE CLOSE,OCR,2013.0,Resale,600000.0,495,06 to 10
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1130000.0,1076,11 to 15
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,900000.0,883,01 to 05
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,1300000.0,1076,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,620000.0,527,06 to 10
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,800000.0,980,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1728540.0,1507,21 to 25
RIVERBANK @ FERNVALE,FERNVALE CLOSE,OCR,2013.0,Resale,800000.0,710,01 to 05
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,918000.0,883,01 to 05
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,870000.0,1163,01 to 05
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,927000.0,883,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,908000.0,883,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1888000.0,1453,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1659000.0,1453,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,985520.0,775,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,1080000.0,1012,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,908000.0,883,06 to 10
RIVERBANK @ FERNVALE,FERNVALE CLOSE,OCR,2013.0,Resale,603000.0,495,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1510180.0,1249,01 to 05
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,1100000.0,1399,01 to 05
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,700000.0,646,01 to 05
RIVERBANK @ FERNVALE,FERNVALE CLOSE,OCR,2013.0,Resale,593000.0,495,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,740000.0,980,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,1300000.0,1442,01 to 05
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,1100000.0,1281,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,1280000.0,1658,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1238000.0,1130,21 to 25
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,1032999.9999999999,904,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,707000.0,506,16 to 20
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,810000.0,980,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,1540000.0,2067,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,680000.0,527,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,673000.0,506,11 to 15
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,640000.0,527,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1220112.0,872,21 to 25
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,981000.0,775,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,968000.0,667,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,855000.0,581,16 to 20
RIVERBANK @ FERNVALE,FERNVALE CLOSE,OCR,2013.0,Resale,780000.0,689,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,700000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1389112.0,980,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,693000.0,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1524000.0,1249,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,676000.0,506,11 to 15
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1180000.0,1130,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1288112.0,969,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,859000.0,592,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1278112.0,1033,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1241112.0,969,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,1540000.0,2067,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,705000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1248112.0,872,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,931000.0,667,06 to 10
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,1600000.0,1227,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,715000.0,527,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,862000.0,592,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1114112.0,872,06 to 10
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1260000.0,1130,11 to 15
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,820000.0,980,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,940000.0,667,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,696000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,700000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,707000.0,506,16 to 20
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1780000.0,1905,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1380000.0,1227,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,897000.0,700,21 to 25
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,697000.0,506,11 to 15
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,1180000.0,1582,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,800000.0,980,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,1150000.0,872,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,696000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,890000.0,700,21 to 25
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,1000000.0,1281,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1315112.0,980,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,704000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,855000.0,592,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,847000.0,581,21 to 25
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,834000.0,592,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,703000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,928000.0,667,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,676000.0,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,840000.0,581,21 to 25
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,823000.0,581,16 to 20
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,693000.0,603,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,607000.0,527,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1318112.0,980,11 to 15
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,1400000.0,2024,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,819000.0,581,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1585000.0,1281,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,908000.0,667,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,673000.0,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1124112.0,872,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,881000.0,667,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,815000.0,581,16 to 20
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,905000.0,883,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,815000.0,581,11 to 15
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,1306000.0,1507,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,1370000.0,1981,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,900000.0,1216,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,999000.0,775,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1152112.0,872,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,919000.0,667,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,711000.0,506,21 to 25
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1570000.0,1281,06 to 10
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,1500000.0,2067,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,780000.0,743,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,703000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,833000.0,581,16 to 20
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,980000.0,1292,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,885000.0,667,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,908000.0,667,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,673000.0,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,689000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,706000.0,506,21 to 25
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1220000.0,1130,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,625000.0,431,21 to 25
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1608000.0,1281,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,685000.0,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,865000.0,667,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,930000.0,840,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,893000.0,667,01 to 05
