project,street,segment,commence,sale,price,area,level
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,810000.0,743,11 to 15
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,900000.0,883,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,670000.0,506,11 to 15
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1160000.0,1130,11 to 15
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,790000.0,1012,01 to 05
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,920000.0,1044,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,679000.0,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,670000.0,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1608000.0,1281,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,906500.0,667,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,924000.0,667,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1127112.0,861,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,810888.0,743,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,667000.0,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,903000.0,667,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,660000.0,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1294112.0,980,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,667000.0,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,679000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1179112.0,872,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,826000.0,581,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1531000.0,1249,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1673000.0,1410,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1485000.0,1152,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,640000.0,506,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,643000.0,506,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,702000.0,506,16 to 20
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,900000.0,883,16 to 20
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,854800.0,1270,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,844000.0,592,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,644000.0,506,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,1650000.0,1378,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1010999.9999999999,786,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,823000.0,581,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,686000.0,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1365000.0,1130,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1306112.0,980,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,694000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1125112.0,872,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,637000.0,506,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,647000.0,506,01 to 05
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,1175000.0,1453,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,958000.0,667,16 to 20
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,1050000.0,1012,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,940000.0,1302,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1325000.0,1227,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,646000.0,506,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1127112.0,861,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,654000.0,506,06 to 10
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1251000.0,1195,06 to 10
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,1100000.0,1076,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,627000.0,506,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,860000.0,850,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,682000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1173112.0,872,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,699000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1517000.0,1249,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,890000.0,883,06 to 10
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1320000.0,1195,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,649000.0,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,630000.0,431,21 to 25
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,798000.0,1012,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,699000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1102112.0,872,06 to 10
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,910000.0,883,11 to 15
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,848000.0,883,01 to 05
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,930000.0,1302,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,667000.0,506,11 to 15
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,1350000.0,1981,01 to 05
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,743000.0,603,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,823000.0,592,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,657000.0,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,680000.0,506,11 to 15
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,933000.0,1335,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,663000.0,506,06 to 10
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,885000.0,1292,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,640000.0,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,646000.0,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,921000.0,667,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1006999.9999999999,786,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,871112.0,667,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1061112.0,861,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,614000.0,431,21 to 25
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1329000.0,969,21 to 25
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,640000.0,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,637000.0,506,01 to 05
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,675000.0,818,01 to 05
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,930000.0,1292,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,807000.0,581,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,835000.0,667,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,976000.0,786,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1592000.0,1281,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1188000.0,872,21 to 25
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,940000.0,1335,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,637000.0,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1735000.0,1453,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,794000.0,581,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,836000.0,700,21 to 25
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,778000.0,581,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,810000.0,592,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,982000.0,786,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1508000.0,1249,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1585000.0,1281,11 to 15
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1080000.0,1076,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1285000.0,1227,11 to 15
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1550000.0,1378,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,636500.0,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,654000.0,506,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1380000.0,1152,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1435000.0,1152,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1432000.0,1152,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1223000.0,958,01 to 05
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,1380000.0,1991,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,867000.0,667,01 to 05
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1150000.0,1195,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,882000.0,667,11 to 15
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1170000.0,1130,16 to 20
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,1450000.0,2067,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1399000.0,1152,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,842000.0,667,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,620000.0,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,792000.0,581,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,826000.0,667,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,796000.0,592,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,637000.0,506,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,843000.0,667,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,858000.0,667,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,789000.0,592,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1407000.0,1302,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1051000.0,861,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1599000.0,1281,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,967000.0,786,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1528000.0,1281,06 to 10
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,OCR,1997.0,Resale,875000.0,1302,01 to 05
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,706000.0,592,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1550000.0,1281,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,623000.0,506,06 to 10
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,1220000.0,1227,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,981000.0,786,06 to 10
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,1140000.0,1453,01 to 05
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,995000.0,1432,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1607000.0,1281,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,599000.0,431,16 to 20
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,1300000.0,1851,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1438000.0,1152,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,624000.0,506,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,591000.0,431,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1528000.0,1281,06 to 10
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,775000.0,581,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,761000.0,592,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,1261000.0,980,06 to 10
H2O RESIDENCES,FERNVALE LINK,OCR,2010.0,Resale,798000.0,753,11 to 15
SELETAR PARK RESIDENCE,SELETAR ROAD,OCR,2011.0,Resale,1980000.0,2239,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,596000.0,431,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,585000.0,431,11 to 15
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,670000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,668000.0,506,16 to 20
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,771000.0,581,11 to 15
SUNRISE GARDENS,SUNRISE AVENUE,OCR,1995.0,Resale,1088000.0,1464,01 to 05
PARC BOTANNIA,FERNVALE STREET,OCR,2016.0,New Sale,857000.0,667,06 to 10
THE GREENWICH,SELETAR ROAD,OCR,2009.0,Resale,635000.0,603,01 to 05
